Agent Name,Rating,Review Text,Delivery Time (min),Location,Order Type,Customer Feedback Type,Price Range,Discount Applied,Product Availability,Customer Service Rating,Order Accuracy
Blinkit,1.3,"Order was delayed by hours, no apology given.",60,Delhi,Essentials,Negative,High,Yes,Out of Stock,1,Correct
Swiggy Instamart,1.5,"Order was delayed, no updates given.",32,Hyderabad,Electronics,Negative,Low,No,In Stock,3,Correct
Zepto,3.4,"Service was decent, nothing stood out.",21,Mumbai,Electronics,Neutral,High,No,In Stock,4,Incorrect
JioMart,2.9,"Delivery was over an hour late, items were incorrect.",54,Kolkata,Electronics,Negative,Medium,No,Out of Stock,1,Incorrect
Swiggy Instamart,3.6,"Delivery was okay, communication was lacking.",40,Jaipur,Essentials,Neutral,Low,No,Out of Stock,3,Incorrect
Zepto,1.2,"Wrong items delivered, very frustrating experience.",57,Lucknow,Electronics,Negative,High,No,Out of Stock,1,Correct
Swiggy Instamart,4.9,"Driver was professional, items were perfect.",21,Hyderabad,Grocery,Positive,High,No,Out of Stock,4,Correct
JioMart,3.9,"Delivery was fast, service was outstanding.",24,Mumbai,Grocery,Positive,Medium,Yes,Out of Stock,3,Incorrect
Zepto,4.0,"Fantastic delivery, food was fresh.",31,Bangalore,Electronics,Positive,High,No,In Stock,3,Incorrect
Swiggy Instamart,3.0,"Experience was average, needs more communication.",31,Chennai,Electronics,Neutral,Low,Yes,In Stock,3,Correct
JioMart,3.8,"Delivery took too long, food was lukewarm.",38,Jaipur,Grocery,Negative,High,No,In Stock,2,Incorrect
Swiggy Instamart,2.7,"Wrong items delivered, very inconvenient.",59,Delhi,Food,Negative,Medium,No,In Stock,2,Correct
Blinkit,2.1,"Items missing from my order, very disappointing.",53,Kolkata,Essentials,Negative,High,Yes,Out of Stock,3,Incorrect
Swiggy Instamart,4.6,"Fast and reliable delivery, great service!",29,Mumbai,Electronics,Positive,High,Yes,In Stock,4,Correct
JioMart,3.1,"Delivery was fine, communication was okay.",35,Delhi,Essentials,Neutral,Low,Yes,Out of Stock,4,Correct
Zepto,3.2,"Delivery was quick, everything was great!",22,Chennai,Food,Positive,Medium,No,Out of Stock,4,Incorrect
Swiggy Instamart,4.2,"Delivery was quick, food was hot.",29,Bangalore,Food,Positive,Low,No,In Stock,3,Correct
JioMart,3.4,"Fast delivery, everything was as ordered.",22,Bangalore,Pharmacy,Positive,Medium,No,In Stock,4,Correct
Swiggy Instamart,3.6,"Perfect service, no issues, highly recommend.",33,Chennai,Electronics,Positive,High,Yes,In Stock,3,Incorrect
JioMart,1.1,"Delivery was hours late, no tracking updates.",60,Bangalore,Electronics,Negative,High,No,In Stock,4,Correct
Blinkit,3.8,"Service was standard, no issues but no wow factor.",28,Hyderabad,Electronics,Neutral,High,Yes,Out of Stock,4,Incorrect
Zepto,3.8,"assistance was okay, tracking needs work.",31,Mumbai,Pharmacy,Neutral,High,No,Out of Stock,3,Incorrect
Blinkit,4.5,"Delivery was smooth, driver was friendly.",35,Hyderabad,Pharmacy,Positive,Low,No,Out of Stock,3,Incorrect
Swiggy Instamart,3.9,"Order was fine, but app needs improvement.",28,Chennai,Grocery,Neutral,Medium,No,In Stock,4,Incorrect
JioMart,4.0,"Great experience, everything went smoothly.",28,Hyderabad,Food,Positive,High,Yes,Out of Stock,4,Correct
JioMart,3.1,"Items were out of stock, no prior warning.",50,Mumbai,Electronics,Negative,Low,No,Out of Stock,3,Correct
Zepto,3.1,"Received wrong products, very poor service.",42,Bangalore,Electronics,Negative,Medium,No,Out of Stock,4,Incorrect
Blinkit,3.3,"Order was correct, app didn’t update properly.",36,Lucknow,Food,Neutral,High,Yes,Out of Stock,3,Incorrect
Blinkit,4.7,"Order was perfect, delivery was quick.",30,Lucknow,Food,Positive,Medium,No,Out of Stock,5,Incorrect
Swiggy Instamart,3.5,"Service was slow, support was unhelpful.",37,Jaipur,Grocery,Negative,High,No,Out of Stock,1,Incorrect
Blinkit,3.8,"Driver didn’t contact me, left order outside.",37,Bangalore,Essentials,Negative,Low,Yes,In Stock,4,Correct
Zepto,3.8,"Items arrived, service was decent.",20,Mumbai,Food,Neutral,Low,Yes,Out of Stock,4,Incorrect
Zepto,3.6,"Delivery was okay, but updates were slow.",28,Hyderabad,Essentials,Neutral,Low,Yes,Out of Stock,3,Correct
Swiggy Instamart,4.0,"Delivery was timely, but updates were slow.",28,Delhi,Pharmacy,Neutral,High,No,Out of Stock,4,Correct
Swiggy Instamart,3.4,"Delivery was on time, app was glitchy.",22,Chennai,Food,Neutral,Low,No,Out of Stock,4,Incorrect
Blinkit,2.0,"courier was rude, delivery was delayed.",38,Jaipur,Grocery,Negative,Low,Yes,In Stock,1,Incorrect
Swiggy Instamart,3.1,"Service was decent, nothing stood out.",23,Jaipur,Food,Neutral,Low,No,In Stock,3,Incorrect
Swiggy Instamart,3.8,"Items were incorrect, no resolution offered.",43,Jaipur,Essentials,Negative,Low,No,In Stock,1,Incorrect
Swiggy Instamart,3.2,"Delivery was quick, service was excellent.",40,Ahmedabad,Essentials,Positive,Medium,Yes,Out of Stock,4,Incorrect
Blinkit,4.0,"Fast delivery, everything was as ordered.",36,Delhi,Electronics,Positive,Low,No,In Stock,5,Incorrect
Zepto,3.1,"Package was mishandled, items broken.",57,Pune,Essentials,Negative,Medium,No,In Stock,4,Correct
Blinkit,2.4,"Order was incomplete, support was unhelpful.",47,Ahmedabad,Grocery,Negative,Medium,No,Out of Stock,3,Incorrect
Zepto,2.0,"Package was damaged, terrible experience.",30,Pune,Essentials,Negative,Medium,No,In Stock,4,Correct
Zepto,3.9,"Service was top-notch, no complaints!",29,Pune,Electronics,Positive,High,Yes,Out of Stock,3,Correct
Zepto,3.5,"Service was fine, could improve tracking.",38,Kolkata,Electronics,Neutral,High,No,In Stock,3,Incorrect
JioMart,3.7,"Service was okay, tracking needs work.",27,Hyderabad,Pharmacy,Neutral,High,No,In Stock,3,Correct
JioMart,3.1,"Items in stock, delivered on time, awesome!",38,Pune,Grocery,Positive,Low,Yes,In Stock,3,Correct
Zepto,3.6,"Items were correct, service was standard.",22,Lucknow,Essentials,Neutral,Medium,No,In Stock,4,Incorrect
Swiggy Instamart,4.2,"Delivery was quick, food was hot.",25,Lucknow,Essentials,Positive,Low,Yes,In Stock,5,Correct
Blinkit,3.2,"Delivery was okay, communication was lacking.",36,Hyderabad,Essentials,Neutral,High,Yes,In Stock,4,Correct
Blinkit,4.8,"Great service, items were well-packaged.",22,Lucknow,Electronics,Positive,Low,Yes,Out of Stock,4,Incorrect
Swiggy Instamart,1.3,"Items were damaged, no refund process.",30,Lucknow,Food,Negative,Medium,Yes,In Stock,2,Incorrect
JioMart,3.5,"Items were correct, experience was average.",28,Mumbai,Food,Neutral,Low,No,In Stock,4,Correct
Swiggy Instamart,3.0,"Package was mishandled, items broken.",56,Ahmedabad,Essentials,Negative,Medium,No,Out of Stock,2,Correct
Blinkit,3.6,"Delivery was okay, but updates were slow.",40,Lucknow,Essentials,Neutral,Low,Yes,In Stock,3,Incorrect
Blinkit,1.3,"Wrong items delivered, very inconvenient.",42,Kolkata,Essentials,Negative,Low,Yes,Out of Stock,3,Incorrect
Zepto,3.1,"Perfect order, excellent customer service.",29,Hyderabad,Essentials,Positive,Medium,Yes,Out of Stock,5,Incorrect
JioMart,3.4,Package was left in an unsafe location.,40,Lucknow,Pharmacy,Negative,High,No,In Stock,4,Incorrect
Blinkit,3.8,"Driver was friendly, service was awesome.",27,Ahmedabad,Essentials,Positive,Low,No,In Stock,5,Incorrect
Zepto,4.0,"Order arrived fine, items were as expected.",38,Hyderabad,Grocery,Neutral,Medium,Yes,Out of Stock,3,Correct
JioMart,3.6,"Package was mishandled, items broken.",34,Bangalore,Electronics,Negative,Medium,No,In Stock,3,Correct
Blinkit,3.2,"Driver was polite, order was accurate.",23,Mumbai,Food,Positive,High,Yes,In Stock,3,Incorrect
Blinkit,4.9,"Fast and reliable delivery, awesome service!",21,Pune,Essentials,Positive,Medium,Yes,Out of Stock,3,Incorrect
Zepto,3.6,"Received damaged goods, no refund offered.",40,Ahmedabad,Grocery,Negative,High,Yes,Out of Stock,4,Correct
Blinkit,3.7,"Items were correct, experience was average.",24,Pune,Pharmacy,Neutral,High,Yes,In Stock,3,Correct
Swiggy Instamart,3.9,"Delivery was hours late, no tracking updates.",47,Ahmedabad,Essentials,Negative,High,Yes,Out of Stock,1,Correct
Zepto,3.5,"Delivery was on time, service was average.",24,Kolkata,Essentials,Neutral,Medium,Yes,Out of Stock,3,Correct
Swiggy Instamart,2.2,"Delivery was slow, tracking was inaccurate.",39,Kolkata,Pharmacy,Negative,Low,No,Out of Stock,4,Incorrect
JioMart,3.7,"Delivery was timely, but app was slow.",24,Ahmedabad,Essentials,Neutral,Low,No,Out of Stock,4,Incorrect
Swiggy Instamart,4.0,"Service was amazing, everything was perfect.",27,Chennai,Essentials,Positive,Medium,Yes,Out of Stock,5,Incorrect
JioMart,3.8,"Delivery was slightly delayed, driver was polite.",21,Pune,Essentials,Neutral,Low,Yes,Out of Stock,4,Incorrect
Blinkit,4.7,"awesome customer service, quick delivery.",34,Bangalore,Grocery,Positive,Low,Yes,Out of Stock,4,Incorrect
JioMart,2.7,"Package was damaged, terrible experience.",48,Hyderabad,Food,Negative,Low,Yes,Out of Stock,2,Incorrect
JioMart,4.4,"Delivery was quick, food was hot.",29,Lucknow,Pharmacy,Positive,Low,Yes,Out of Stock,5,Correct
Swiggy Instamart,3.7,"Package was damaged, contents were unusable.",45,Mumbai,Electronics,Negative,High,No,In Stock,3,Correct
Swiggy Instamart,3.6,"Service was disorganized, delivery was late.",46,Ahmedabad,Food,Negative,Medium,No,Out of Stock,1,Incorrect
JioMart,3.1,"Package was mishandled, contents were broken.",45,Bangalore,Grocery,Negative,Low,No,Out of Stock,4,Correct
JioMart,3.6,Food was cold and poorly packaged.,50,Lucknow,Grocery,Negative,Low,No,In Stock,2,Correct
Swiggy Instamart,5.0,"Delivery was fast, service was outstanding.",34,Bangalore,Pharmacy,Positive,High,Yes,In Stock,5,Correct
Swiggy Instamart,3.0,"Delivery was timely, but updates were slow.",22,Kolkata,Electronics,Neutral,Low,No,Out of Stock,3,Incorrect
Zepto,3.6,"Service was okay, tracking needs work.",23,Hyderabad,Grocery,Neutral,High,No,In Stock,3,Correct
Swiggy Instamart,3.5,"Delivery was lightning fast, great job!",29,Bangalore,Pharmacy,Positive,High,Yes,Out of Stock,5,Correct
Blinkit,4.3,"Driver was professional, items were perfect.",35,Chennai,Essentials,Positive,Low,Yes,Out of Stock,4,Incorrect
Blinkit,3.4,"Order was correct, app didn’t update properly.",36,Ahmedabad,Essentials,Neutral,Medium,No,Out of Stock,3,Incorrect
Swiggy Instamart,1.4,"Items were incorrect, no resolution offered.",36,Delhi,Electronics,Negative,Medium,Yes,Out of Stock,3,Incorrect
Blinkit,3.5,"Food arrived fresh, packaging was great.",20,Hyderabad,Electronics,Positive,Low,No,In Stock,5,Incorrect
Blinkit,4.0,"Service was decent, expected faster delivery.",31,Chennai,Essentials,Neutral,High,Yes,Out of Stock,4,Incorrect
JioMart,3.5,"Order was accurate, arrived early.",37,Chennai,Pharmacy,Positive,Low,Yes,In Stock,3,Incorrect
Swiggy Instamart,3.7,"Service was average, no complaints.",30,Mumbai,Food,Neutral,High,Yes,In Stock,4,Incorrect
Blinkit,1.3,"Food spilled in the bag, completely unacceptable.",53,Chennai,Pharmacy,Negative,High,No,In Stock,4,Correct
Blinkit,1.3,"Order was delayed by hours, no apology given.",41,Mumbai,Pharmacy,Negative,High,No,In Stock,4,Incorrect
Blinkit,2.9,"Service was slow, support was unhelpful.",50,Chennai,Pharmacy,Negative,Low,Yes,Out of Stock,1,Incorrect
Blinkit,3.3,"Service was amazing, everything was perfect.",35,Jaipur,Food,Positive,Low,Yes,In Stock,3,Incorrect
JioMart,4.8,"goods in stock, delivered on time, awesome!",26,Lucknow,Essentials,Positive,Low,Yes,In Stock,5,Correct
Swiggy Instamart,4.2,"awesome experience, will order again!",30,Chennai,Essentials,Positive,High,Yes,Out of Stock,3,Correct
Blinkit,3.7,"Order was fine, delivery was on time.",30,Kolkata,Grocery,Neutral,High,No,In Stock,4,Incorrect
Zepto,2.8,"Items were out of stock, no prior warning.",30,Kolkata,Food,Negative,Medium,Yes,In Stock,3,Correct
Swiggy Instamart,4.5,"Driver was friendly, followed instructions exactly.",39,Delhi,Pharmacy,Positive,Medium,No,Out of Stock,3,Correct
Swiggy Instamart,4.5,"Fast delivery, everything was as ordered.",23,Lucknow,Food,Positive,Medium,Yes,Out of Stock,3,Correct
Zepto,3.4,"Delivery was on time, app was glitchy.",30,Jaipur,Grocery,Neutral,Low,Yes,Out of Stock,4,Incorrect
Blinkit,4.1,"Items were perfect, arrived right on time.",26,Ahmedabad,Essentials,Positive,Low,Yes,In Stock,4,Incorrect
Blinkit,3.4,"Items were out of stock, no notice given.",39,Pune,Food,Negative,Low,No,Out of Stock,3,Correct
JioMart,4.0,"Delivery was timely, but app was slow.",36,Bangalore,Grocery,Neutral,Medium,No,Out of Stock,4,Incorrect
Zepto,3.9,"Order was fine, but app needs improvement.",27,Ahmedabad,Electronics,Neutral,Medium,No,Out of Stock,4,Correct
Blinkit,4.4,"Delivery was quick, service was excellent.",38,Jaipur,Grocery,Positive,High,No,Out of Stock,5,Correct
Zepto,2.4,"Wrong items delivered, very inconvenient.",34,Kolkata,Food,Negative,Medium,No,In Stock,1,Correct
JioMart,3.9,"Delivery was late, food was cold.",32,Delhi,Electronics,Negative,High,No,Out of Stock,4,Correct
Blinkit,2.9,"Delivery took too long, food was lukewarm.",32,Ahmedabad,Electronics,Negative,Medium,No,In Stock,3,Incorrect
Blinkit,1.2,"Items were incorrect, no resolution offered.",53,Lucknow,Essentials,Negative,High,No,Out of Stock,1,Correct
JioMart,4.6,"Service was outstanding, highly satisfied.",35,Jaipur,Food,Positive,High,Yes,Out of Stock,5,Correct
JioMart,3.8,"Order was correct, service was okay.",39,Chennai,Grocery,Neutral,Low,No,Out of Stock,3,Incorrect
Swiggy Instamart,3.3,"Order was flawless, will use again!",26,Lucknow,Essentials,Positive,High,No,Out of Stock,3,Correct
Blinkit,3.1,"Delivery was fast, service was outstanding.",26,Jaipur,Grocery,Positive,Low,Yes,In Stock,5,Incorrect
JioMart,3.1,"Delivery was smooth, driver was friendly.",26,Mumbai,Essentials,Positive,High,No,In Stock,3,Incorrect
Swiggy Instamart,3.8,"Delivery was okay, could use better updates.",24,Pune,Pharmacy,Neutral,High,Yes,In Stock,4,Incorrect
JioMart,1.4,"Received wrong products, very poor service.",52,Mumbai,Essentials,Negative,Low,Yes,Out of Stock,3,Correct
Blinkit,3.1,"Package left at wrong address, terrible service.",33,Ahmedabad,Pharmacy,Negative,High,Yes,In Stock,1,Correct
JioMart,3.4,"Order arrived early, packaging was great.",31,Delhi,Food,Positive,High,Yes,Out of Stock,4,Correct
Swiggy Instamart,3.7,"Delivery was okay, tracking wasn’t great.",38,Mumbai,Pharmacy,Neutral,Medium,Yes,Out of Stock,4,Correct
Swiggy Instamart,1.1,"Order was cancelled last minute, very annoying.",34,Jaipur,Essentials,Negative,Low,Yes,Out of Stock,4,Incorrect
JioMart,1.4,"Received wrong products, very poor service.",51,Jaipur,Pharmacy,Negative,High,No,Out of Stock,3,Incorrect
Blinkit,3.7,Package was left in an unsafe location.,36,Hyderabad,Pharmacy,Negative,Medium,Yes,In Stock,2,Incorrect
Swiggy Instamart,4.0,"Delivery was quick, service was excellent.",38,Kolkata,Essentials,Positive,Medium,No,In Stock,5,Incorrect
Zepto,3.8,"Items were delivered, tracking was okay.",35,Ahmedabad,Food,Neutral,Low,No,In Stock,4,Correct
Zepto,3.1,"Order was correct, service was okay.",27,Bangalore,Essentials,Neutral,High,Yes,In Stock,4,Correct
Swiggy Instamart,4.6,"Delivery was fast, service was outstanding.",25,Chennai,Essentials,Positive,High,Yes,In Stock,4,Incorrect
Swiggy Instamart,4.0,"Delivery was fine, but app could be better.",25,Lucknow,Grocery,Neutral,Low,No,In Stock,4,Incorrect
Blinkit,3.6,"Fast delivery, everything was as ordered.",31,Jaipur,Pharmacy,Positive,High,Yes,Out of Stock,4,Correct
Swiggy Instamart,4.6,"Fantastic delivery, food was fresh.",32,Pune,Grocery,Positive,Medium,No,Out of Stock,4,Correct
Swiggy Instamart,3.5,"Order was fine, but app needs improvement.",25,Mumbai,Pharmacy,Neutral,Medium,Yes,Out of Stock,3,Incorrect
Blinkit,1.5,"Driver didn’t follow instructions, order was wrong.",46,Bangalore,Pharmacy,Negative,High,No,In Stock,1,Correct
Swiggy Instamart,3.9,"Delivery was okay, could use better updates.",29,Delhi,Electronics,Neutral,High,No,In Stock,4,Correct
Swiggy Instamart,3.2,"Delivery was okay, could use better updates.",39,Chennai,Grocery,Neutral,Low,Yes,Out of Stock,3,Correct
Zepto,4.1,"Items in stock, delivered on time, awesome!",21,Hyderabad,Grocery,Positive,Low,Yes,In Stock,5,Correct
Blinkit,3.8,"Service was decent, nothing stood out.",26,Kolkata,Essentials,Neutral,Medium,No,Out of Stock,4,Incorrect
Blinkit,3.1,"Driver was rude, delivery was delayed.",58,Kolkata,Electronics,Negative,Medium,No,In Stock,4,Incorrect
JioMart,4.0,"Order was incomplete, support was unhelpful.",48,Chennai,Food,Negative,Low,Yes,In Stock,3,Correct
JioMart,4.7,"Great customer service, quick delivery.",27,Hyderabad,Pharmacy,Positive,Medium,Yes,In Stock,5,Correct
JioMart,3.2,"Fantastic experience, everything spot on!",28,Hyderabad,Pharmacy,Positive,Low,Yes,Out of Stock,5,Correct
JioMart,3.7,"Service was average, no major complaints.",29,Lucknow,Electronics,Neutral,Low,Yes,Out of Stock,3,Correct
JioMart,3.7,"Items were correct, service was standard.",27,Kolkata,Pharmacy,Neutral,High,No,Out of Stock,3,Incorrect
Blinkit,1.7,"Missing items, no explanation provided.",46,Mumbai,Food,Negative,High,No,Out of Stock,2,Incorrect
Swiggy Instamart,2.7,"Food spilled in the bag, completely unacceptable.",49,Delhi,Electronics,Negative,Medium,No,Out of Stock,4,Incorrect
JioMart,1.5,"Items were out of stock, no notice given.",30,Hyderabad,Essentials,Negative,High,No,In Stock,2,Correct
Swiggy Instamart,3.4,"Package was damaged, terrible experience.",52,Kolkata,Electronics,Negative,High,No,Out of Stock,2,Incorrect
Blinkit,2.3,"Package left at wrong address, terrible service.",59,Ahmedabad,Grocery,Negative,Low,No,In Stock,4,Incorrect
Swiggy Instamart,3.3,"Delivery was fine, communication was okay.",32,Chennai,Essentials,Neutral,High,Yes,In Stock,4,Correct
Zepto,3.9,"Order was fine, delivery was on time.",21,Chennai,Essentials,Neutral,High,No,Out of Stock,3,Correct
Swiggy Instamart,3.4,"Food arrived cold, packaging was damaged.",34,Hyderabad,Food,Negative,High,Yes,In Stock,2,Incorrect
Zepto,4.0,"Delivery was timely, but app was slow.",38,Ahmedabad,Food,Neutral,Low,Yes,In Stock,4,Correct
JioMart,3.3,"Delivery was on time, items were correct.",23,Pune,Essentials,Positive,Low,Yes,In Stock,3,Incorrect
Swiggy Instamart,4.5,"Perfect order, excellent customer service.",23,Delhi,Grocery,Positive,High,No,In Stock,5,Correct
JioMart,2.2,"Customer service was unresponsive, bad experience.",51,Hyderabad,Essentials,Negative,Low,No,Out of Stock,1,Incorrect
Zepto,4.0,"Excellent service, products well-packaged.",39,Ahmedabad,Food,Positive,Medium,No,In Stock,4,Incorrect
Zepto,3.4,"Experience was average, needs more communication.",36,Mumbai,Grocery,Neutral,Low,Yes,Out of Stock,4,Incorrect
JioMart,4.7,"Delivery was smooth, food was fresh.",39,Chennai,Electronics,Positive,High,No,Out of Stock,4,Incorrect
Swiggy Instamart,3.8,"Order was fine, but delivery person seemed rushed.",25,Jaipur,Food,Neutral,Medium,Yes,Out of Stock,4,Incorrect
Blinkit,3.7,"Order arrived fine, items were as expected.",35,Kolkata,Electronics,Neutral,Low,No,In Stock,4,Incorrect
Blinkit,3.3,"Order was flawless, will use again!",31,Hyderabad,Essentials,Positive,Medium,No,Out of Stock,3,Incorrect
JioMart,3.4,"Items arrived, packaging was adequate.",25,Chennai,Essentials,Neutral,Medium,No,In Stock,3,Incorrect
Blinkit,3.7,"Service was okay, tracking needs work.",21,Delhi,Grocery,Neutral,Medium,No,Out of Stock,3,Correct
Blinkit,4.2,"Delivery was on time, items were correct.",33,Ahmedabad,Pharmacy,Positive,High,Yes,Out of Stock,4,Incorrect
JioMart,4.3,"Service was great, delivery was quick.",28,Bangalore,Pharmacy,Positive,Medium,Yes,Out of Stock,3,Correct
Zepto,3.6,"Delivery was fast, service was outstanding.",31,Kolkata,Grocery,Positive,High,Yes,Out of Stock,5,Correct
Blinkit,3.2,"Products were missing, support didn’t respond.",44,Jaipur,Electronics,Negative,High,Yes,Out of Stock,3,Correct
Swiggy Instamart,4.3,"Perfect order, excellent customer service.",35,Mumbai,Grocery,Positive,High,Yes,In Stock,4,Correct
JioMart,4.2,"Order was correct, driver was professional.",21,Delhi,Essentials,Positive,Low,No,In Stock,5,Incorrect
Zepto,3.9,"Experience was average, needs more communication.",25,Jaipur,Essentials,Neutral,Medium,No,Out of Stock,3,Incorrect
Zepto,4.3,"Order was flawless, will use again!",22,Pune,Electronics,Positive,Low,Yes,In Stock,5,Correct
Blinkit,2.1,"Driver ignored instructions, poor service.",34,Hyderabad,Food,Negative,Low,Yes,In Stock,2,Incorrect
JioMart,3.5,"Items were correct, service was standard.",36,Bangalore,Essentials,Neutral,Low,No,In Stock,4,Incorrect
Blinkit,1.7,"Delivery took too long, food was lukewarm.",43,Lucknow,Essentials,Negative,Medium,Yes,Out of Stock,3,Incorrect
Swiggy Instamart,3.4,"Service was average, no major complaints.",27,Chennai,Pharmacy,Neutral,Medium,Yes,Out of Stock,4,Correct
Blinkit,3.6,"Items in stock, delivered on time, awesome!",20,Hyderabad,Grocery,Positive,Medium,No,Out of Stock,3,Incorrect
Blinkit,2.6,"Order was wrong, customer service ignored me.",42,Kolkata,Electronics,Negative,High,No,Out of Stock,3,Correct
Swiggy Instamart,2.8,Driver was rude and ignored delivery instructions.,53,Bangalore,Food,Negative,High,Yes,Out of Stock,1,Correct
JioMart,3.3,"Order arrived, service was standard.",37,Lucknow,Food,Neutral,Medium,Yes,In Stock,3,Incorrect
JioMart,3.1,"Order was fine, but driver seemed rushed.",38,Lucknow,Pharmacy,Neutral,Low,No,In Stock,4,Incorrect
JioMart,4.2,"Great experience, will order again!",22,Kolkata,Essentials,Positive,Medium,No,Out of Stock,4,Incorrect
Blinkit,3.6,"Order was correct, but packaging was okay.",24,Bangalore,Food,Neutral,Low,No,In Stock,3,Incorrect
Blinkit,3.5,"Order arrived early, packaging was great.",38,Mumbai,Essentials,Positive,Low,No,In Stock,4,Incorrect
Zepto,5.0,"Driver was polite, order was accurate.",27,Mumbai,Essentials,Positive,High,Yes,Out of Stock,5,Incorrect
Zepto,4.7,"Driver was professional, goods were perfect.",25,Delhi,Essentials,Positive,High,No,In Stock,3,Incorrect
Swiggy Instamart,2.6,"Service was slow, goods were not as ordered.",41,Bangalore,Pharmacy,Negative,Low,No,In Stock,1,Incorrect
Swiggy Instamart,4.9,"Fast delivery, driver was courteous.",32,Bangalore,Food,Positive,Medium,Yes,Out of Stock,4,Incorrect
JioMart,1.7,"Delivery was late, and the app didn’t update.",53,Lucknow,Grocery,Negative,Medium,No,In Stock,2,Correct
Zepto,4.0,"rider didn’t follow instructions, order was wrong.",57,Bangalore,Grocery,Negative,Low,Yes,Out of Stock,2,Incorrect
Blinkit,2.0,Food was cold and poorly packaged.,41,Lucknow,Essentials,Negative,Low,No,Out of Stock,4,Incorrect
Blinkit,3.9,"Delivery was super fast, food was hot.",33,Chennai,Electronics,Positive,Medium,Yes,In Stock,3,Correct
Zepto,3.4,"Fantastic delivery, food was fresh.",22,Delhi,Electronics,Positive,High,Yes,In Stock,3,Correct
Blinkit,4.3,"Driver was friendly, followed instructions exactly.",26,Mumbai,Grocery,Positive,Medium,Yes,In Stock,3,Incorrect
JioMart,4.0,"Great experience, will order again!",40,Mumbai,Grocery,Positive,Medium,No,In Stock,5,Incorrect
JioMart,2.2,"Food arrived soggy, terrible quality control.",48,Bangalore,Electronics,Negative,Low,No,Out of Stock,4,Incorrect
Swiggy Instamart,2.5,"Missing items, no explanation provided.",51,Delhi,Electronics,Negative,Medium,No,In Stock,1,Incorrect
JioMart,1.7,"Order was delayed, no updates given.",37,Chennai,Essentials,Negative,High,Yes,In Stock,1,Correct
Zepto,4.7,"Delivery was lightning fast, great job!",30,Ahmedabad,Electronics,Positive,Medium,Yes,Out of Stock,4,Correct
Zepto,3.0,"Delivery was okay, could use better updates.",40,Ahmedabad,Essentials,Neutral,High,Yes,Out of Stock,3,Correct
JioMart,3.2,"Package was mishandled, items broken.",46,Ahmedabad,Essentials,Negative,High,No,In Stock,2,Correct
Blinkit,3.8,"Delivery was fine, communication was okay.",20,Delhi,Essentials,Neutral,Low,Yes,In Stock,3,Correct
Blinkit,2.9,"Items were incorrect, no resolution offered.",51,Chennai,Pharmacy,Negative,High,Yes,In Stock,4,Correct
Swiggy Instamart,4.1,"Delivery was smooth, driver was friendly.",30,Hyderabad,Essentials,Positive,Low,No,In Stock,4,Incorrect
Swiggy Instamart,4.0,"Great service, order were well-packaged.",21,Bangalore,Food,Positive,Medium,No,In Stock,4,Correct
JioMart,2.0,"Package was mishandled, order broken.",43,Mumbai,Pharmacy,Negative,High,No,Out of Stock,1,Correct
Zepto,3.6,"Super fast delivery, everything was perfect!",24,Pune,Essentials,Positive,Low,Yes,Out of Stock,4,Incorrect
Blinkit,3.6,"Delivery was fine, customer service was slow.",31,Chennai,Grocery,Neutral,Low,Yes,Out of Stock,4,Correct
Swiggy Instamart,3.5,"Great service, items were well-packaged.",33,Jaipur,Grocery,Positive,Low,Yes,In Stock,3,Incorrect
Zepto,3.7,"Order was perfect, driver was courteous.",40,Jaipur,Pharmacy,Positive,Medium,Yes,Out of Stock,5,Incorrect
JioMart,3.7,"Delivery was late, and the app didn’t update.",44,Lucknow,Essentials,Negative,Medium,Yes,Out of Stock,1,Incorrect
Blinkit,3.4,"Received damaged goods, no refund offered.",58,Bangalore,Electronics,Negative,Low,No,Out of Stock,4,Correct
Zepto,2.6,"Delivery was over an hour late, items were incorrect.",50,Chennai,Electronics,Negative,High,Yes,Out of Stock,1,Correct
Zepto,1.5,"Order was delayed by hours, no apology given.",37,Jaipur,Electronics,Negative,Medium,No,In Stock,2,Correct
JioMart,3.3,"Service was fine, could improve tracking.",37,Bangalore,Grocery,Neutral,High,No,In Stock,4,Incorrect
Blinkit,2.9,"Delivery was hours late, no tracking updates.",37,Delhi,Essentials,Negative,High,No,Out of Stock,4,Incorrect
JioMart,3.3,"Service was average, no major complaints.",26,Pune,Pharmacy,Neutral,Medium,Yes,Out of Stock,3,Incorrect
Swiggy Instamart,3.5,"Delivery was acceptable, but not great.",35,Hyderabad,Pharmacy,Neutral,Medium,Yes,Out of Stock,3,Incorrect
Blinkit,3.8,"Great experience, will order again!",38,Mumbai,Grocery,Positive,Low,Yes,In Stock,4,Incorrect
JioMart,2.4,"Took forever to deliver, no updates provided.",52,Delhi,Essentials,Negative,Medium,No,In Stock,3,Incorrect
JioMart,4.6,"Order was flawless, will use again!",24,Hyderabad,Electronics,Positive,Medium,No,In Stock,5,Correct
JioMart,2.7,"Wrong order received, customer support was unhelpful.",49,Pune,Pharmacy,Negative,Low,No,In Stock,4,Correct
Swiggy Instamart,1.9,Missing order and no response from support.,55,Bangalore,Essentials,Negative,Low,No,Out of Stock,1,Correct
Swiggy Instamart,1.3,"Delivery was slow, tracking was inaccurate.",50,Delhi,Essentials,Negative,Medium,Yes,In Stock,4,Correct
